1 1        3599.999916295725
93 2        3599.999999999999
46 3       0.0121614368377126
45 3        713709.8045730479
47 3   7.474763587227297E-010
48 3    0.0005429296645879356
1 3       -713709.8045730479
4 3   -0.0005429296645879356
2 3      -0.0121614368377126
3 3  -7.474763587227297E-010
3 4    -7.4747635872273E-010
4 4   -0.0005429296645879357
2 4      -0.0121614368377126
1 4       -713709.8045730481
95 5    -0.004366448326691065
96 5    -0.005636743167254693
94 5   -0.0002183112627137115
93 5       -175885.6820989531
30 6       0.3000011150688812
29 6        27886192.27994509
31 6       0.2998094685964396
32 6       0.4002191802482395
25 6       -4814.221041047842
28 6   -0.0002191804022310898
26 6  -1.114116048948371E-006
27 6    0.0001905306047197411
